-140.117,-146.627,-154.887,-154.910,-154.910
-138.854,-150.740,-150.812,-150.838,-150.838
-152.825,-155.065,-155.125,-155.126,-155.126
-152.022,-154.752,-154.773,-154.774,-154.774
-154.813,-156.587,-156.923,-156.927,-156.927
-153.382,-155.167,-155.212,-155.221,-155.221
-138.439,-148.821,-148.920,-148.948,-148.948
-153.445,-156.831,-156.881,-156.887,-156.887
-133.108,-143.227,-143.592,-143.624,-143.624
-153.108,-156.041,-156.093,-156.096,-156.096
-153.181,-154.550,-154.601,-154.632,-154.632
-149.226,-152.896,-152.976,-153.007,-153.007
-145.932,-152.043,-152.127,-152.147,-152.147
-112.779,-137.121,-137.451,-137.637,-137.643
-146.502,-151.134,-151.210,-151.234,-151.234
-153.295,-155.810,-155.872,-155.879,-155.879
-155.150,-157.952,-158.008,-158.012,-158.012
-150.209,-155.055,-155.111,-155.114,-155.114
-153.523,-156.198,-159.587,-159.589,-159.589
-143.985,-151.970,-158.136,-158.140,-158.140
-140.516,-151.674,-151.783,-151.806,-151.806
-155.038,-157.771,-157.827,-157.829,-157.829
-142.126,-148.177,-148.240,-148.270,-148.270
-138.926,-140.264,-154.926,-154.939,-154.939
-139.163,-152.334,-152.406,-152.426,-152.426
-154.965,-156.081,-156.146,-156.167,-156.167
-146.579,-154.105,-154.151,-154.167,-154.167
-149.104,-154.408,-154.494,-154.514,-154.514
-142.582,-143.579,-143.661,-143.709,-143.708
-144.283,-157.154,-157.285,-157.287,-157.287
-153.662,-155.793,-156.503,-156.656,-156.656
-153.275,-157.237,-158.121,-158.123,-158.123
-136.434,-144.850,-144.931,-144.946,-144.946
-147.273,-151.498,-151.568,-151.581,-151.581
-141.938,-150.275,-150.356,-150.388,-150.388
-153.355,-154.942,-156.738,-156.888,-156.887
-137.409,-139.086,-139.323,-139.360,-139.360
-136.475,-147.110,-150.678,-150.707,-150.707
-144.875,-155.056,-157.729,-157.731,-157.731
-145.084,-156.671,-156.725,-156.742,-156.742
-152.579,-158.080,-158.116,-158.120,-158.120
-152.191,-158.124,-159.814,-159.825,-159.825
-153.379,-159.042,-159.108,-159.112,-159.112
-152.606,-155.110,-155.174,-155.182,-155.182
-152.184,-155.436,-155.982,-156.470,-156.470
-152.414,-153.677,-155.417,-155.424,-155.424
-146.295,-151.337,-151.427,-151.474,-151.474
-151.914,-157.316,-157.353,-157.364,-157.364
-156.794,-158.145,-158.196,-158.198,-158.198
-155.032,-156.055,-156.099,-156.101,-156.101
-152.981,-154.373,-154.444,-154.455,-154.455
-155.850,-157.622,-157.660,-157.660,-157.660
-156.306,-157.355,-157.404,-157.410,-157.410
-142.139,-153.885,-154.017,-154.034,-154.034
-156.667,-157.952,-158.008,-158.012,-158.012
-156.092,-157.248,-157.285,-157.287,-157.287
-146.449,-148.205,-148.419,-148.466,-148.466
-154.157,-156.365,-156.421,-156.426,-156.426
-150.736,-152.580,-152.860,-154.816,-154.816
-154.115,-155.381,-155.444,-155.451,-155.451
-146.965,-151.687,-151.769,-151.797,-151.797
-155.875,-157.232,-157.282,-157.284,-157.284
