id,composition,e_total
1487365,Al7Ni5,-113.37340575000002
1487366,AlNi2,-126.14409813
1487375,Al5Ni,-93.23802421
1487376,Al7Ni5,-109.82257579999998
1487377,Al2Ni,-108.33714784
1487378,Al5Ni7,-117.89251235
1487379,Al7Ni5,-110.58916303
1487380,AlNi2,-126.40619637999998
1487381,Al5Ni7,-118.78595795000001
1487382,AlNi5,-128.67123413
1487489,Al5Ni,-92.89200741
1487490,Al7Ni5,-111.08269716999999
1487491,Al2Ni,-108.42362365
1487492,Al5Ni7,-119.17154605000002
1487493,Al7Ni5,-109.53097553
1487494,AlNi2,-126.20648782
1487495,Al5Ni7,-117.66800218
1487496,AlNi5,-128.72146951
1487513,Al2Ni,-100.69012569
1487514,Al5Ni7,-115.64447544
1487515,AlNi,-117.55741163
1487516,AlNi3,-121.9110289
1487525,Al5Ni7,-114.96850315999998
1487526,AlNi5,-128.19595277
1487531,AlNi3,-121.52687204999998
1487534,Ni,-128.48570931
1489260,Al,-110.44529456
1515462,Al11Ni4,-129.00131311
1515466,Al7Ni8,-154.27883339
1515473,Al3Ni2,-139.20022592
1515474,AlNi2,-158.83144279
1515484,Al7Ni8,-151.62656766
1515485,Al7Ni8,-151.11311913
1515486,AlNi4,-161.0718621
1515488,AlNi2,-161.00328121
1515489,AlNi2,-156.81756236
1515490,AlNi14,-163.58735235
1515597,Al14Ni,-116.38728707
1515598,Al2Ni,-136.63948127
1515599,Al2Ni,-139.69313249
1515600,Al2Ni3,-159.14129775
1515601,Al4Ni,-125.62286115
1515602,Al8Ni7,-146.91064296
1515603,Al8Ni7,-146.26907687
1515621,Al2Ni,-140.32253151
1515622,Al2Ni3,-153.68836654
1515623,Al2Ni3,-154.61572712
1515633,Al8Ni7,-150.43342729
1515634,Al4Ni11,-161.29106604
1515639,Al4Ni11,-159.13507541
1515642,Ni,-164.08639426
1520202,Ni,-53.3861006
1521070,Al2Ni,-43.13201926000001
1521872,Al,-3.65019091
1521877,Al,-3.65019091
1521899,AlFe,-12.71721232
1521903,AlFe,-12.71721232
1522121,Fe,-8.30854104
1522123,Fe,-8.30854104
1523649,AlFeNi,-74.39997168
1532395,Al3FeNi5,-43.82673471
1576909,FeNi2,-38.22399101
1577066,Ni,-158.74276177
1577083,Al13Ni16,-148.42254999
1577088,Al4Ni25,-158.2204706
1577109,Al5Ni24,-157.22535539
1577178,AlNi28,-158.71361105
1577205,Al16Ni13,-144.81486406
1577283,Al12Ni17,-150.02563815
1577306,Al16Ni13,-143.2421147
1577323,Al17Ni12,-142.02176887
1577357,Al24Ni5,-116.72507691999999
1577399,Al,-107.01148748
1577440,Al12Ni17,-149.2723644
1577443,Al13Ni16,-150.00177511
1577455,Al28Ni,-108.72820161
1577480,Al17Ni12,-140.8533606
1577583,Al25Ni4,-116.01048878
1590044,Al2Fe,-29.930603840000003
1590046,Al2Ni,-25.102185229999996
1590936,AlFe2,-41.37460719
1590949,Fe2Ni,-43.37023465
1591085,AlNi2,-31.410812129999997
1603483,AlFe5,-44.53618928
1603485,AlNi5,-31.68373337
1782296,Fe3Ni,-30.41263081
1782358,AlNi3,-44.21550879
1782361,AlFe3,-58.89277415
1782482,Al11Fe4,-79.06183964
1782485,Al11Ni4,-68.67840652
1782614,AlNi,-52.38969143
1782617,AlFe,-62.90882397
1782958,Al3Fe5,-54.65124918
1782967,Fe3Ni5,-53.26473923
1783295,Al6Ni,-57.981785499999994
1787084,Al3Fe,-82.9613653
1790021,Fe15Ni,-130.15367346
1790886,AlNi,-31.04399603
1790906,AlFe,-37.35260422
1790966,FeNi13,-79.3893112
1791185,Fe13Ni3,-124.52788549
1791475,Fe11Ni5,-118.69948633
1791795,Fe9Ni7,-112.77544094
1792003,Al4Ni3,-34.53404475
1793836,Al2Fe3,-66.69773316
1794440,AlNi3,-88.74326044
1795214,Al3Ni5,-87.29955749
1795953,Al3Fe,-83.45298183
1797268,Al3Fe2,-29.05083877
1797271,Fe3Ni2,-34.64354539
1797426,Al2Ni3,-106.80284891
1798501,Al7Ni3,-95.05003074
1800548,AlNi2,-65.81734334
1908160,Fe7Ni2,-69.04192026
1908165,Fe,-74.77863293
1920467,Al3Ni7,-55.08495373000001
1925288,Fe7Ni,-63.66216588
1949081,FeNi5,-36.51469656
1973621,AlNi3,-22.19840727
1977883,AlNi,-63.89763497
1981834,AlFe,-12.7170896
1981998,Al2Fe,-16.87906907
2015051,Al,-3.65019065
2015418,Fe3Ni,-30.31828783
2015428,FeNi3,-25.30684378
2015431,Fe3Ni,-30.32018911
